epoch,train_loss,train_acc,f1,recall,val_acc,val_loss
1,0.6931311063694231,50.28219599794767,45.72915462624638,50.28219599794767,50.07893905904642,17.326521337032318
2,0.691326217819946,52.31282314401863,49.22870313199493,52.31282314401863,59.23586990843069,16.99220222234726
3,0.5422873367564847,73.27623633421479,73.27707575084617,73.27623633421479,79.9494790022103,11.623466223478317
4,0.4607712352516675,79.92658957256187,79.92119318613081,79.92658957256187,81.32301862961793,10.907427191734314
5,0.4387635328251906,81.29020799621108,81.2866420682853,81.29020799621107,82.31765077360278,10.528093039989471
6,0.4220302151610153,82.02431227059242,82.02221186618915,82.02431227059242,82.91758762235554,10.304577618837357
7,0.4074728866719236,82.69921458736235,82.6974992759561,82.69921458736236,83.02810230502052,10.037069499492645
8,0.38733475512326365,83.59316414729447,83.59181632473874,83.59316414729447,84.21218819071677,9.422673970460892
9,0.3503116129925757,85.36330267987528,85.3631968370567,85.36330267987529,86.04357436059362,8.280630052089691
10,0.31454891485698294,87.11962742234677,87.11992063506132,87.11962742234677,87.51184085885696,7.605587899684906
11,0.29237008139942633,88.26617200142084,88.2665332567392,88.26617200142086,87.89074834227976,7.307962581515312
12,0.2787604967903609,88.80490981568457,88.8052609365222,88.80490981568457,88.08020208399115,7.209911972284317
13,0.2713260238971373,89.19366933733275,89.19398815773725,89.19366933733276,88.30123144932112,7.276380702853203
14,0.2626298794692213,89.51138650984726,89.51171299059651,89.51138650984726,88.82222923902746,6.9939321875572205
15,0.25607770959837267,89.91988001736591,89.92015580781371,89.9198800173659,89.05904641616672,6.928485915064812
16,0.249557849433687,90.22181000118404,90.2220392810521,90.22181000118404,88.88538048626461,6.95963479578495
17,0.24482461787534482,90.47045822315191,90.47073668402255,90.47045822315192,89.04325860435743,6.811185196042061
18,0.23975930551085808,90.68950546631409,90.68971850407792,90.68950546631409,89.05904641616672,6.831151679158211
19,0.23407278759310943,90.9657812685006,90.96600374616426,90.9657812685006,89.13798547521314,6.843285635113716
20,0.23200887689987817,91.09010537948456,91.0903624863232,91.09010537948454,89.42216608778024,6.885845214128494
21,0.2278517973844451,91.29336543395036,91.29357984449032,91.29336543395034,89.29586359330597,6.847004219889641
22,0.22237288169186525,91.59332201918143,91.59349368546954,91.59332201918143,89.18534891064098,6.95038902759552
23,0.21706321286131638,91.72948652168765,91.72964540663239,91.72948652168765,89.42216608778024,6.867804184556007
24,0.21338917751504918,91.91893278604412,91.9190946026919,91.91893278604412,89.59583201768235,6.9989075511693954
25,0.20991288840469688,92.1379800292063,92.13815809895823,92.1379800292063,89.37480265235239,6.772447347640991
26,0.20556968969829154,92.3412400836721,92.34140525513416,92.3412400836721,89.29586359330597,6.872656300663948
27,0.2021352167081351,92.52871294944153,92.52878282084552,92.52871294944153,89.51689295863594,6.887558400630951
28,0.2000468909138381,92.54055334096381,92.54066911903477,92.54055334096381,89.50110514682665,6.9127732664346695
29,0.19527253858519322,92.76354738130007,92.76367402335097,92.76354738130007,89.40637827597095,6.889177173376083
30,0.19188701726420962,92.80893554880215,92.80899742229562,92.80893554880215,89.39059046416166,7.058709099888802
31,0.1885080716826699,93.08521135098867,93.08531428048042,93.08521135098867,89.46952952320808,7.022649511694908
32,0.1857876197783032,93.22926944784308,93.229351002061,93.22926944784308,89.02747079254816,7.231860563158989
33,0.18315710586429845,93.25689702806173,93.25697824950231,93.25689702806173,89.28007578149669,7.072102189064026
34,0.1800457239527293,93.50357185144256,93.50366855346506,93.50357185144256,89.16956109883171,7.158692553639412
35,0.17592108155591318,93.63184275960059,93.6319523211394,93.63184275960059,89.16956109883171,7.340695679187775
36,0.1750879611707095,93.7088053044954,93.70885705371657,93.7088053044954,89.18534891064098,7.125685766339302
37,0.1723769749655868,93.89627817026484,93.89634956036194,93.89627817026484,89.50110514682665,7.258173048496246
38,0.16857931130763257,93.95153333070213,93.95162433278064,93.95153333070213,89.21692453425955,7.355896234512329
39,0.1673699989538602,94.00678849113945,94.00684785173196,94.00678849113943,89.31165140511526,7.407581031322479
40,0.16448246412957557,94.13308600071042,94.13311937790884,94.13308600071042,89.37480265235239,7.332991108298302
41,0.1613306954051509,94.28701109050006,94.28707589914299,94.28701109050006,89.02747079254816,7.421539977192879
42,0.16045061337074848,94.3185854678928,94.31863965146022,94.3185854678928,88.94853173350174,7.522396847605705
43,0.1576111169550756,94.40541500572286,94.4054804408749,94.40541500572286,89.18534891064098,7.298354536294937
44,0.15566345195126052,94.40936180289695,94.40940242237295,94.40936180289695,89.15377328702242,7.726520285010338
45,0.15317593977758379,94.65603662627778,94.65606595650446,94.65603662627777,88.83801705083675,7.700089290738106
46,0.1511763602570452,94.66787701780005,94.6679327399497,94.66787701780005,89.01168298073887,7.782881930470467
47,0.14863040949208567,94.7290523739985,94.72912305620167,94.7290523739985,88.80644142721819,7.7938860803842545
48,0.14727282667099828,94.86127007933062,94.86129828313798,94.86127007933062,88.86959267445532,7.957603842020035
49,0.14681041206825862,94.80206812171923,94.80212431207387,94.80206812171923,88.63277549731608,8.006437510251999
50,0.1441735780299312,95.01124837194617,95.01128940771501,95.01124837194617,88.77486580359962,7.911961585283279
51,0.14228677783500066,95.09215771401507,95.0922133890047,95.09215771401507,88.72750236817177,7.80289962887764
52,0.13979020364808314,95.046769546513,95.04681402485241,95.046769546513,88.53804862646037,8.068466231226921
53,0.13956141415419002,95.07834392390575,95.07836694927661,95.07834392390575,88.7117145563625,7.899403691291809
54,0.1388203300385162,95.14149267869124,95.14150530396523,95.14149267869124,88.4275339437954,8.237622156739235
55,0.13775654385487238,95.26976358684927,95.26981216247462,95.26976358684928,88.85380486264604,8.104915708303452
56,0.13596125534086517,95.26581678967518,95.2658566293819,95.26581678967518,88.60119987369751,8.039390683174133
57,0.13416163179308477,95.27765718119745,95.27766029872883,95.27765718119745,88.53804862646037,8.224046558141708
58,0.13344007632648103,95.40000789359435,95.40003771797718,95.40000789359435,88.49068519103253,8.289508953690529
59,0.13149964862098598,95.51051821446896,95.5105525678728,95.51051821446896,88.52226081465109,8.341442838311195
60,0.13115732236341995,95.43750246674823,95.43756134061273,95.43750246674824,88.45910956741396,8.070846825838089
61,0.1294125938280062,95.47697043848916,95.47701273781773,95.47697043848916,88.49068519103253,8.343102976679802
62,0.12950741145947967,95.54801278762284,95.54803722225779,95.54801278762285,88.55383643826966,8.343151584267616
63,0.12922087550690078,95.52038520740419,95.52043523073685,95.52038520740419,88.4117461319861,8.30278393626213
64,0.1283848323304244,95.48486403283735,95.4848795642535,95.48486403283735,88.45910956741396,8.29796288907528
65,0.12614089284430852,95.6012945494731,95.60130127720444,95.60129454947311,88.44332175560467,8.357957154512405
66,0.12547370926900345,95.66641670284564,95.66641284106026,95.66641670284564,88.58541206188822,8.373607441782951
67,0.12531993158086382,95.59932115088606,95.5993230911013,95.59932115088606,88.38017050836754,8.344829112291336
68,0.12398606247146322,95.79074081382957,95.7907915148342,95.79074081382957,88.44332175560467,8.552633076906204
69,0.12409971445573098,95.68812408730315,95.68816520960077,95.68812408730315,88.47489737922324,8.372124165296555
70,0.12282229075678672,95.76903342937206,95.76903342937206,95.76903342937206,88.5064730028418,8.506856992840767
71,0.12384332795486305,95.72167186328295,95.72171187416617,95.72167186328294,88.36438269655825,8.647861555218697
72,0.12304859420265814,95.73548565339227,95.73551497686074,95.73548565339227,88.31701926113041,8.590779975056648
73,0.1220038833303584,95.81047479970005,95.8105068578435,95.81047479970005,88.53804862646037,8.523726254701614
74,0.12132068153357867,95.84204917709279,95.84207776781379,95.84204917709279,88.39595832017682,8.670011788606644
75,0.12153076117086892,95.81442159687414,95.81442436005176,95.81442159687413,88.30123144932112,8.570382460951805
76,0.12021432117079243,95.85191617002802,95.85194711137052,95.85191617002802,88.19071676665614,8.619917660951614
77,0.11942824478628057,95.87757035165963,95.8775801891254,95.87757035165963,88.45910956741396,8.612466990947723
78,0.12017206001010808,95.83612898133165,95.83618551357543,95.83612898133165,88.34859488474898,8.59855568408966
79,0.11946883248259323,95.88743734459486,95.88748032200414,95.88743734459486,88.56962425007895,8.579895615577698
80,0.11832464059269188,95.99202746970833,95.99204866034817,95.99202746970833,88.28544363751185,8.677648037672043
81,0.11894247601881172,95.86572996013734,95.86575181852754,95.86572996013734,88.2222923902747,8.630715653300285
82,0.11769164054456985,95.88941074318191,95.88942055239264,95.88941074318191,88.31701926113041,8.746261075139046
83,0.11807827916786526,95.93874570785808,95.93876136729592,95.93874570785808,88.30123144932112,8.704832836985588
84,0.11832109437973211,95.98413387536014,95.98417943169466,95.98413387536014,88.19071676665614,8.744489073753357
85,0.11800489055387901,95.92690531633579,95.92697107287005,95.92690531633579,88.26965582570256,8.631127834320068
86,0.11841109803303926,95.89730433753009,95.89731930508289,95.8973043375301,88.44332175560467,8.675034150481224
87,0.11654334233114214,95.97032008525082,95.97035777077826,95.97032008525082,88.34859488474898,8.755057126283646
88,0.11743979712929388,96.01768165133994,96.01772182216466,96.01768165133994,88.39595832017682,8.694028034806252
89,0.11855488319439117,95.9229585191617,95.92299359891952,95.92295851916171,88.31701926113041,8.61388984322548
90,0.11798713307338532,95.94466590361921,95.94469848908065,95.94466590361921,88.44332175560467,8.676801934838295
91,0.1172969439113983,95.98018707818605,95.98023549728892,95.98018707818605,88.23808020208399,8.663129806518555
92,0.1162103172203507,95.9861072739472,95.98613721433284,95.9861072739472,88.11177770760972,8.703156635165215
93,0.11632101267877251,96.05517622449382,96.0551954834085,96.05517622449382,88.25386801389327,8.702925622463226
94,0.11641101742332632,96.01373485416585,96.0137330842378,96.01373485416585,88.47489737922324,8.64699511229992
95,0.11682272382607364,95.94466590361921,95.9446905919749,95.94466590361921,88.4275339437954,8.708290576934814
96,0.11677555689080195,95.98808067253424,95.98807619579316,95.98808067253424,88.26965582570256,8.743366107344627
97,0.1168800342940923,95.99202746970833,95.99205027128585,95.99202746970833,88.34859488474898,8.704917192459106
98,0.11598269726065072,96.05517622449382,96.0552291236792,96.05517622449382,88.55383643826966,8.737693905830383
