epoch,train_loss,train_acc,f1,recall
1,0.0008752586865665937,50.0,33.33333333333333,50.0
1,0.0017516524201691753,48.4375,29.920212765957448,46.875
1,0.0026276149231978137,46.875,26.6304347826087,43.75
1,0.0035035220360515092,46.875,34.75877192982456,46.875
1,0.004378720591164598,47.5,36.45833333333333,50.0
1,0.0052549841277527085,47.65625,32.631578947368425,48.4375
1,0.006131596712753026,47.767857142857146,33.27764976958525,48.4375
1,0.007011087780649012,47.4609375,29.96361746361747,45.3125
1,0.007884656389554342,48.09027777777778,38.4765625,53.125
1,0.008759807983432153,48.28125,34.981226533166456,50.0
1,0.009633902046415541,48.72159090909091,39.453125,53.125
1,0.01051262103848987,47.916666666666664,24.57865168539326,39.0625
1,0.011389638212594118,47.59615384615385,30.710227272727273,43.75
1,0.012264274888568454,47.99107142857143,44.81534090909091,53.125
1,0.013139438373271865,48.333333333333336,50.26993355481728,53.125
1,0.014012672533892621,48.92578125,42.35767326732673,57.8125
1,0.014890742347095951,48.529411764705884,25.03434065934066,42.1875
1,0.01576760659615199,48.4375,29.920212765957448,46.875
1,0.016645101209481556,48.27302631578947,28.259408602150536,45.3125
1,0.01751630384512622,48.75,42.35767326732673,57.8125
1,0.018392375247044998,48.80952380952381,33.33333333333333,50.0
1,0.019270946130608067,48.65056818181818,28.259408602150536,45.3125
1,0.020149887210190898,48.505434782608695,28.259408602150536,45.3125
1,0.021023068464163578,48.697916666666664,36.86224489795919,53.125
1,0.021904181124586048,48.4375,25.03434065934066,42.1875
1,0.02278088725576497,48.4375,31.61184210526316,48.4375
1,0.02365692787700229,48.4375,31.61184210526316,48.4375
1,0.024530958045612682,48.604910714285715,36.86224489795919,53.125
1,0.025405600441224648,48.65301724137931,33.33333333333333,50.0
1,0.026279471212565297,48.854166666666664,38.667929292929294,54.6875
1,0.027151235275798373,49.193548387096776,44.24019607843137,59.375
1,0.028023713240117737,49.462890625,42.35767326732673,57.8125
1,0.02890157488861469,49.28977272727273,26.6304347826087,43.75
1,0.02977779296913532,49.21875,29.920212765957448,46.875
1,0.03065238862928718,49.285714285714285,35.08376288659794,51.5625
1,0.031525657258250496,49.435763888888886,38.667929292929294,54.6875
1,0.03240115044995992,49.40878378378378,31.61184210526316,48.4375
1,0.03327657131835668,49.38322368421053,31.61184210526316,48.4375
1,0.03415151715579659,49.39903846153846,33.33333333333333,50.0
1,0.035021528375871254,49.7265625,48.07692307692308,62.5
1,0.03589247588557427,49.923780487804876,42.35767326732673,57.8125
1,0.03677293312067938,49.70238095238095,23.472222222222218,40.625
1,0.03764878386499906,49.7093023255814,33.33333333333333,50.0
1,0.03851778684842466,49.96448863636363,46.146844660194176,60.9375
1,0.0393938213737324,49.93055555555556,31.61184210526316,48.4375
1,0.04026917473535345,49.932065217391305,33.33333333333333,50.0
1,0.04114461486989802,49.933510638297875,33.33333333333333,50.0
1,0.04201791352695889,50.0,36.86224489795919,53.125
1,0.04289636000840351,49.90433673469388,28.259408602150536,45.3125
1,0.043774877910060114,49.8125,28.259408602150536,45.3125
1,0.04464676825687139,49.908088235294116,38.667929292929294,54.6875
1,0.04552078058924338,49.93990384615385,35.08376288659794,51.5625
1,0.046403864868963605,49.70518867924528,20.454545454545453,37.5
1,0.047281083585035924,49.623842592592595,28.259408602150536,45.3125
1,0.04815979309455313,49.48863636363637,25.03434065934066,42.1875
1,0.0490339192176106,49.55357142857143,36.86224489795919,53.125
1,0.049908998864467695,49.56140350877193,33.33333333333333,50.0
1,0.05078387862504131,49.488146551724135,28.259408602150536,45.3125
1,0.05165757464640068,49.62923728813559,52.039217804667246,57.8125
1,0.052532215461586464,49.635416666666664,49.411764705882355,50.0
1,0.053406748431499555,49.692622950819676,45.45454545454545,53.125
1,0.05428197716522699,49.69758064516129,37.5,50.0
