epoch,train_loss,train_acc,f1,recall,val_acc,val_loss
1,0.6914819984725027,52.079962110747125,51.47422959244183,52.079962110747125,58.872750236817176,16.917204082012177
2,0.5287222705706202,74.28266961360856,74.277873498455,74.28266961360855,79.90211556678244,11.538772642612457
3,0.45231551654411084,80.2581205351857,80.25045544824657,80.2581205351857,81.14935269971582,10.923065751791
4,0.43146128425694474,81.38098433121522,81.37436047356839,81.38098433121522,82.3965898326492,10.435975730419159
5,0.4141544508512574,82.23546591940641,82.23137174911332,82.23546591940641,83.56488790653616,10.003406971693039
6,0.3790519053887839,83.97008327742037,83.9677254991962,83.97008327742037,85.42784970003157,8.681737244129181
7,0.3213739374069252,86.62233097841101,86.62235143677883,86.62233097841103,87.06978212819703,7.784703344106674
8,0.2922864495353265,88.0905395271737,88.09088466241508,88.09053952717369,87.79602147142405,7.480651825666428
9,0.2809729947134702,88.7003196905711,88.70067349808582,88.7003196905711,88.09598989580044,7.355474844574928
10,0.2708716257804572,89.22721711331255,89.22752931863704,89.22721711331255,88.36438269655825,7.146471977233887
11,0.2621845852094467,89.53506729289182,89.53539596905878,89.53506729289182,88.55383643826966,7.018877238035202
12,0.2565341235862838,89.94158740182343,89.94184214807208,89.94158740182343,88.49068519103253,7.069254845380783
13,0.24934506476527513,90.34613411216797,90.34641329251802,90.34613411216797,88.7117145563625,7.0224668979644775
14,0.24217958740814768,90.559261159569,90.55955345352929,90.559261159569,88.90116829807388,6.996553912758827
15,0.23806822977282785,90.79804238860164,90.79830176007863,90.79804238860166,88.83801705083675,7.009875759482384
16,0.23310055546086245,91.04274381339543,91.042992353087,91.04274381339543,89.01168298073887,6.8877785205841064
17,0.22588722385240323,91.32691320993014,91.32714840680333,91.32691320993014,88.91695610988317,6.826614931225777
18,0.22324392884367644,91.44729052373998,91.44745364752399,91.44729052374,89.28007578149669,6.8684050142765045
19,0.21918788755481894,91.70975253581719,91.70986920781158,91.70975253581717,89.2642879696874,6.784920200705528
20,0.21372463433730482,91.9603741563721,91.96053621084734,91.9603741563721,89.13798547521314,7.032555595040321
21,0.21044797788966785,92.09653865887832,92.09674333322754,92.09653865887833,89.29586359330597,6.871289163827896
22,0.20418854475472914,92.35702727236847,92.35722084353209,92.35702727236847,89.29586359330597,6.981421679258347
23,0.20021031687807556,92.51292576074516,92.51307468306736,92.51292576074516,89.21692453425955,7.005444064736366
24,0.19580764255740427,92.73789319966846,92.73803170809605,92.73789319966846,88.93274392169245,7.010224148631096
25,0.19313790999127156,92.82866953467261,92.82883196074654,92.82866953467261,89.16956109883171,7.055618494749069
26,0.18907243638026594,93.02798279196432,93.02811284330238,93.02798279196432,89.3590148405431,7.0456575602293015
27,0.18450320685150648,93.18980147610215,93.18994143038837,93.18980147610215,89.04325860435743,7.257947027683258
28,0.181229018653282,93.36346055176224,93.363616165929,93.36346055176224,88.9801073571203,7.3725776225328445
29,0.17961198998370556,93.46213048111457,93.4622246299962,93.46213048111458,89.05904641616672,7.157675430178642
30,0.17463090744885532,93.7048585073213,93.70497143396412,93.7048585073213,89.04325860435743,7.258014023303986
31,0.17140678504500725,93.77787425504204,93.77800844355527,93.77787425504204,89.16956109883171,7.337376192212105
32,0.16755833988538896,94.01665548407468,94.01676960297479,94.01665548407468,88.94853173350174,7.425658226013184
33,0.1663134867570015,94.02849587559696,94.02860299660674,94.02849587559695,88.82222923902746,7.742920592427254
34,0.16257089259799082,94.22188893712752,94.22196152582187,94.22188893712752,88.94853173350174,7.609196648001671
35,0.15946509124654712,94.21202194419229,94.21211449112204,94.21202194419229,88.82222923902746,7.669287472963333
36,0.15673739335151635,94.37976082409125,94.37986164386515,94.37976082409125,88.75907799179033,7.717791050672531
37,0.15499121394723353,94.47251055768244,94.47256530546633,94.47251055768244,88.83801705083675,7.697468042373657
38,0.152119273526801,94.58499427714409,94.58508169765281,94.58499427714409,88.83801705083675,7.67384946346283
39,0.14899039923241644,94.71918538106327,94.71926734458651,94.71918538106327,88.6959267445532,7.782602623105049
40,0.1461436478327019,94.8178553104156,94.81791862804866,94.8178553104156,88.56962425007895,8.231023862957954
41,0.14445498126624812,94.98164739314046,94.98172607061565,94.98164739314046,88.6959267445532,8.400683537125587
42,0.14266001835766465,95.03690255357778,95.0369707621476,95.03690255357778,88.64856330912535,8.162092596292496
43,0.14117460005512142,95.0507163436871,95.05080222845902,95.0507163436871,88.6959267445532,8.32404913008213
44,0.13844108472418304,95.1355724829301,95.13564567057237,95.1355724829301,88.55383643826966,8.385250359773636
45,0.1372625675391067,95.17504045467103,95.1751002405149,95.17504045467103,88.47489737922324,8.385681375861168
46,0.13422233054433205,95.34672613174409,95.34672406565977,95.34672613174409,88.52226081465109,8.219671159982681
47,0.1331395324921668,95.28160397837155,95.28167038226076,95.28160397837155,88.60119987369751,8.392133116722107
48,0.13006810855233308,95.52038520740419,95.5204336326529,95.52038520740419,88.66435112093464,8.323398232460022
49,0.12960704130054723,95.47697043848916,95.47701105376962,95.47697043848916,88.34859488474898,8.49385617673397
50,0.1277932884416195,95.52038520740419,95.52043994123018,95.52038520740419,88.52226081465109,8.448423489928246
51,0.12647595657317928,95.58550736077673,95.58552529519714,95.58550736077673,88.45910956741396,8.86760725080967
52,0.12548984805441865,95.68023049295496,95.68029821808008,95.68023049295496,88.36438269655825,8.45783306658268
53,0.12368155344191825,95.6900974858902,95.69012286627394,95.6900974858902,88.45910956741396,8.493934035301208
54,0.12178421833298424,95.72759205904408,95.7276296234666,95.72759205904408,88.34859488474898,8.796635136008263
