model,dropout,weight_decay,best_epoch,val_acc,train_acc,f1,recall,val_loss,filename
bilstm_attention,0.4,0.001,1,51.70508367540259,50.54860480719896,49.085304659296,50.54860480719896,17.322753250598907,bilstm_attention_dp0.4_wd0.001.csv
bilstm_attention,0.2,0.1,1,49.87369750552573,50.284169396534715,49.1560498863868,50.284169396534715,17.328168511390686,bilstm_attention_dp0.2_wd0.1.csv
bilstm_attention,0.5,1e-05,22,89.28007578149669,91.99194853376486,91.99217012749544,91.99194853376484,6.907426074147224,bilstm_attention_dp0.5_wd1e-05.csv
bilstm_attention,0.5,0.01,1,51.51562993369119,50.37297233295181,42.454520504775694,50.37297233295181,17.327453136444092,bilstm_attention_dp0.5_wd0.01.csv
bilstm_attention,0.4,0.1,1,49.87369750552573,50.28614279512176,49.15223808354791,50.286142795121755,17.328168988227844,bilstm_attention_dp0.4_wd0.1.csv
bilstm_attention,0.1,0.001,1,51.62614461635617,50.566365394482375,49.11236381489629,50.56636539448238,17.32274442911148,bilstm_attention_dp0.1_wd0.001.csv
bilstm_attention,0.3,0.1,1,49.87369750552573,50.24667482338083,49.11063951803645,50.24667482338082,17.3281689286232,bilstm_attention_dp0.3_wd0.1.csv
bilstm_attention,0.2,0.001,1,51.673508051784026,50.597939771875126,49.15186020454566,50.59793977187512,17.322723984718323,bilstm_attention_dp0.2_wd0.001.csv
bilstm_attention,0.3,1e-05,28,89.2642879696874,93.18190788175396,93.18204976133272,93.18190788175396,7.296508461236954,bilstm_attention_dp0.3_wd1e-05.csv
bilstm_attention,0.2,0.01,1,51.45247868645406,50.438094486324346,42.52709353807003,50.438094486324346,17.327449142932892,bilstm_attention_dp0.2_wd0.01.csv
bilstm_attention,0.5,0.1,1,49.87369750552573,50.26443541066425,49.132186275093986,50.26443541066424,17.328169465065002,bilstm_attention_dp0.5_wd0.1.csv
bilstm_attention,0.1,0.0001,22,89.39059046416166,91.17101472155346,91.1712284593163,91.17101472155346,6.850401625037193,bilstm_attention_dp0.1_wd0.0001.csv
bilstm_attention,0.4,0.01,1,51.499842121881905,50.39665311599637,42.46824184980053,50.39665311599637,17.327450692653656,bilstm_attention_dp0.4_wd0.01.csv
bilstm_attention,0.1,1e-05,26,89.3590148405431,93.02798279196432,93.02811284330238,93.02798279196432,7.0456575602293015,bilstm_attention_dp0.1_wd1e-05.csv
bilstm_attention,0.4,0.0001,22,89.29586359330597,91.03879701622134,91.03900912149068,91.03879701622134,6.824105769395828,bilstm_attention_dp0.4_wd0.0001.csv
bilstm_attention,0.3,0.0001,22,89.34322702873382,91.05655760350476,91.0567916653768,91.05655760350476,6.820055931806564,bilstm_attention_dp0.3_wd0.0001.csv
bilstm_attention,0.4,1e-05,28,89.32743921692453,93.06745076370524,93.0676069689065,93.06745076370524,7.269148156046867,bilstm_attention_dp0.4_wd1e-05.csv
bilstm_attention,0.2,0.0001,22,89.43795389958952,91.11970635829024,91.11993212778069,91.11970635829024,6.837142840027809,bilstm_attention_dp0.2_wd0.0001.csv
bilstm_attention,0.5,0.0001,27,89.31165140511526,91.79263527647316,91.79280606581268,91.79263527647316,6.972226977348328,bilstm_attention_dp0.5_wd0.0001.csv
bilstm_attention,0.1,0.01,1,51.499842121881905,50.438094486324346,42.531013316389206,50.438094486324346,17.32745087146759,bilstm_attention_dp0.1_wd0.01.csv
bilstm_attention,0.5,0.001,1,51.673508051784026,50.590046177526936,49.109994966839096,50.590046177526936,17.32278299331665,bilstm_attention_dp0.5_wd0.001.csv
bilstm_attention,0.1,0.1,1,49.87369750552573,50.29600978805699,49.16999630388311,50.29600978805699,17.32816845178604,bilstm_attention_dp0.1_wd0.1.csv
bilstm_attention,0.2,1e-05,26,89.28007578149669,92.9253660654379,92.9255039159601,92.9253660654379,7.012938901782036,bilstm_attention_dp0.2_wd1e-05.csv
bilstm_attention,0.3,0.01,1,51.436690874644775,50.39862651458341,42.48720957820166,50.39862651458341,17.327450156211853,bilstm_attention_dp0.3_wd0.01.csv
bilstm_attention,0.3,0.001,1,51.72087148721187,50.59399297470103,49.14779787812596,50.59399297470103,17.32273679971695,bilstm_attention_dp0.3_wd0.001.csv
cnn,0.5,1e-05,100,69.22955478370697,89.02198366025969,89.02232848493796,89.02198366025969,21.919209420681,cnn_dp0.5_wd1e-05.csv
cnn,0.4,0.001,97,82.49131670350489,90.73292023522912,90.73320924507328,90.7329202352291,9.626118808984756,cnn_dp0.4_wd0.001.csv
cnn,0.2,0.01,100,88.55383643826966,91.69593874570786,91.69616853043388,91.69593874570786,6.981192573904991,cnn_dp0.2_wd0.01.csv
cnn,0.1,0.001,89,86.92769182191348,96.73402533843786,96.73404779579108,96.73402533843786,8.611153215169907,cnn_dp0.1_wd0.001.csv
cnn,0.3,1e-05,100,76.09725292074519,92.07285787583376,92.07304550562168,92.07285787583376,17.675062239170074,cnn_dp0.3_wd1e-05.csv
cnn,0.2,0.001,99,85.06473002841805,94.64616963334254,94.6462501842851,94.64616963334257,9.008599802851675,cnn_dp0.2_wd0.001.csv
cnn,0.1,0.1,43,86.18566466687717,86.21778426806647,86.21685379082844,86.21778426806647,8.583497077226639,cnn_dp0.1_wd0.1.csv
cnn,0.5,0.01,100,84.49636880328387,87.96424201760271,87.96457033821787,87.96424201760271,8.572681546211243,cnn_dp0.5_wd0.01.csv
cnn,0.1,0.0001,66,86.18566466687717,96.52287168962388,96.52288795694685,96.52287168962388,10.094387620687485,cnn_dp0.1_wd0.0001.csv
cnn,0.1,1e-05,68,86.83296495105779,96.92347160279434,96.92345968617064,96.92347160279434,10.430034160614014,cnn_dp0.1_wd1e-05.csv
cnn,0.4,0.0001,97,74.70792548152826,90.28890555314362,90.289175009813,90.28890555314362,15.799584567546844,cnn_dp0.4_wd0.0001.csv
cnn,0.3,0.0001,97,77.04452162930218,92.0491770927892,92.04937207011912,92.0491770927892,14.935627698898315,cnn_dp0.3_wd0.0001.csv
cnn,0.2,0.1,54,85.7751815598358,84.29372064569601,84.29034785451823,84.29372064569601,9.015531569719316,cnn_dp0.2_wd0.1.csv
cnn,0.5,0.001,100,80.02841806125672,89.29628606385918,89.2966006630345,89.29628606385917,10.86234426498413,cnn_dp0.5_wd0.001.csv
cnn,0.3,0.01,100,87.62235554152194,90.30666614042704,90.30696192228037,90.30666614042704,7.331326082348824,cnn_dp0.3_wd0.01.csv
cnn,0.4,1e-05,100,73.77644458478055,90.40730946836642,90.4075726811322,90.40730946836642,18.404471039772034,cnn_dp0.4_wd1e-05.csv
cnn,0.2,0.0001,67,81.65456267761289,93.5094920472037,93.50960371373644,93.5094920472037,12.454956978559494,cnn_dp0.2_wd0.0001.csv
cnn,0.5,0.0001,100,71.23460688348595,88.7042664877452,88.70461620878667,88.7042664877452,18.034974455833435,cnn_dp0.5_wd0.0001.csv
cnn,0.4,0.1,64,85.25418377012946,82.53739590322454,82.52911965890898,82.53739590322454,9.684204488992693,cnn_dp0.4_wd0.1.csv
cnn,0.4,0.01,100,86.16987685506788,89.0436910447172,89.0440349194377,89.0436910447172,7.874797940254211,cnn_dp0.4_wd0.01.csv
cnn,0.3,0.1,54,85.6804546889801,83.34648932391364,83.3410469623273,83.34648932391364,9.256955534219742,cnn_dp0.3_wd0.1.csv
cnn,0.3,0.001,94,84.14903694347963,92.70039862651458,92.7005714028615,92.70039862651458,9.106390416622162,cnn_dp0.3_wd0.001.csv
cnn,0.1,0.01,99,88.83801705083675,93.19374827327624,93.19393914271176,93.19374827327624,6.78793041408062,cnn_dp0.1_wd0.01.csv
cnn,0.5,0.1,69,84.78054941585096,82.00457828472194,81.9897642653086,82.00457828472196,10.092824667692184,cnn_dp0.5_wd0.1.csv
cnn,0.2,1e-05,65,79.6652983896432,93.92785254765758,93.92788951411524,93.92785254765758,15.654494732618332,cnn_dp0.2_wd1e-05.csv
bilstm,0.3,0.001,36,88.82222923902746,91.1769349173146,91.17720916604404,91.1769349173146,7.077587530016899,bilstm_dp0.3_wd0.001.csv
bilstm,0.2,0.01,1,50.39469529523208,51.36953861941035,43.44445214514443,51.36953861941035,17.321007549762726,bilstm_dp0.2_wd0.01.csv
bilstm,0.2,1e-05,29,89.8326491948216,94.2041283498441,94.20426029752478,94.2041283498441,7.064476743340492,bilstm_dp0.2_wd1e-05.csv
